"filename", "language", "CMake", "Ignore", "comment", "blank", "total"
"/home/xiaoyu/gradDesign/llvm-project-postgres/libcxx/utils/google-benchmark/cmake/GoogleTest.cmake", "CMake", 33, 0, 0, 9, 42
"/home/xiaoyu/gradDesign/llvm-project-postgres/libcxx/utils/google-benchmark/cmake/llvm-toolchain.cmake", "CMake", 6, 0, 0, 3, 9
"/home/xiaoyu/gradDesign/llvm-project-postgres/libcxx/utils/google-benchmark/cmake/split_list.cmake", "CMake", 3, 0, 0, 1, 4
"/home/xiaoyu/gradDesign/llvm-project-postgres/libcxx/utils/google-benchmark/test/AssemblyTests.cmake", "CMake", 39, 0, 0, 8, 47
"/home/xiaoyu/gradDesign/llvm-project-postgres/libcxxabi/cmake/Modules/HandleCompilerRT.cmake", "CMake", 63, 0, 0, 2, 65
"/home/xiaoyu/gradDesign/llvm-project-postgres/libcxxabi/cmake/Modules/HandleLibcxxabiFlags.cmake", "CMake", 213, 0, 0, 30, 243
"/home/xiaoyu/gradDesign/llvm-project-postgres/libcxxabi/cmake/Modules/MacroEnsureOutOfSourceBuild.cmake", "CMake", 15, 0, 0, 4, 19
"/home/xiaoyu/gradDesign/llvm-project-postgres/libcxxabi/cmake/config-ix.cmake", "CMake", 93, 0, 0, 8, 101
"/home/xiaoyu/gradDesign/llvm-project-postgres/libunwind/cmake/Modules/HandleCompilerRT.cmake", "CMake", 63, 0, 0, 2, 65
"/home/xiaoyu/gradDesign/llvm-project-postgres/libunwind/cmake/Modules/HandleLibunwindFlags.cmake", "CMake", 249, 0, 0, 35, 284
"/home/xiaoyu/gradDesign/llvm-project-postgres/libunwind/cmake/config-ix.cmake", "CMake", 95, 0, 0, 11, 106
"/home/xiaoyu/gradDesign/llvm-project-postgres/lld/cmake/modules/AddLLD.cmake", "CMake", 56, 0, 0, 10, 66
"/home/xiaoyu/gradDesign/llvm-project-postgres/lld/cmake/modules/FindVTune.cmake", "CMake", 26, 0, 0, 6, 32
"/home/xiaoyu/gradDesign/llvm-project-postgres/lldb/cmake/caches/Apple-lldb-Linux.cmake", "CMake", 7, 0, 0, 2, 9
"/home/xiaoyu/gradDesign/llvm-project-postgres/lldb/cmake/caches/Apple-lldb-Xcode.cmake", "CMake", 10, 0, 0, 5, 15
"/home/xiaoyu/gradDesign/llvm-project-postgres/lldb/cmake/caches/Apple-lldb-base.cmake", "CMake", 7, 0, 0, 3, 10
"/home/xiaoyu/gradDesign/llvm-project-postgres/lldb/cmake/caches/Apple-lldb-macOS.cmake", "CMake", 22, 0, 0, 6, 28
"/home/xiaoyu/gradDesign/llvm-project-postgres/lldb/cmake/modules/AddLLDB.cmake", "CMake", 312, 0, 0, 43, 355
